Sr no,selling_price (in Rs.),km_driven (in km),mileage,engine,max_power,torque,seats,Age of the car (in years)
1,450000,145500,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,6
2,370000,120000,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5,6
3,158000,140000,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,14
4,225000,127000,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,10
5,130000,120000,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,13
6,440000,45000,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,3
7,96000,175000,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5,13
8,45000,5000,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,19
9,350000,90000,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5,9
10,200000,169000,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5,7
11,500000,68000,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5,6
12,92000,100000,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5,15
13,280000,140000,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,11
14,200000,80000,,,,,,13
15,180000,90000,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,11
16,400000,40000,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5,4
17,778000,70000,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,4
18,500000,53000,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,8
19,150000,80000,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5,18
20,680000,100000,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,4
21,174000,100000,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5,9
22,950000,50000,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,3
23,525000,40000,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5,5
24,600000,72000,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5,8
25,500000,35000,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm,5,2
26,575000,45000,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,4
27,275000,28000,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5,3
28,300000,70000,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7,7
29,220000,120000,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5,11
30,254999,25000,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8,2
31,670000,70000,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,3
32,70000,50000,,,,,,17
33,150000,35000,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5,8
34,730000,2388,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,2
35,650000,16200,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,3
36,330000,10000,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4,1
37,366000,15000,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5,1
38,1149000,5000,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,1
39,150000,42000,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5,4
40,425000,60000,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,9
41,150000,76000,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4,8
42,2100000,5000,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5,1
